name,provider,type,amount,eligibility,deadline,apply_url,apply_email,apply_method,insider_tips,prerequisites,relevance_score,relevance_reason,tags,source_url,source_platform
DPIIT Startup Recognition,Department for Promotion of Industry and Internal Trade (DPIIT),prerequisite,Free — unlocks tax benefits + most schemes,"Private Ltd company, LLP, or registered partnership; incorporated <10 years; turnover <₹100Cr/year; working towards innovation/scalable model",Rolling / Always Open,https://www.startupindia.gov.in/content/sih/en/startupgov/startup-recognition-page.html,,Register on startupindia.gov.in → fill startup profile → submit for DPIIT review → approval usually within 2-3 working days online,"1. Do this FIRST before anything else — it unlocks SISFS, NSA 5.0, and tax exemptions. 2. In the description field emphasize 'zero preservatives, novel sous vide process, high-protein food innovation' — they respond to genuine product innovation. 3. Approval is mostly automated; if rejected it's usually due to vague innovation description — be specific about what's new.",None required — just Aadhaar + PAN + company incorporation docs,10,Absolute prerequisite that unlocks ₹945Cr SISFS fund + NSA ₹10L prize + 3-year income tax exemption. Free and takes <3 days. Do this TODAY.,"prerequisite, dpiit, free, urgent",https://www.startupindia.gov.in/content/sih/en/ams-application.html,official
Udyam Registration (MSME),Ministry of MSME,prerequisite,Free — unlocks PMFME + MSME schemes,"Investment <₹2.5Cr (micro), no turnover cap for registration; food manufacturing qualifies",Rolling / Always Open,https://udyamregistration.gov.in/UdyamRegistration.aspx,,Go to udyamregistration.gov.in → New Registration → enter Aadhaar → PAN/GSTIN auto-fetched → submit → instant certificate with QR code,"1. Do this before applying to PMFME — it's a hard prerequisite. 2. Registration is fully free and paperless — takes 10 minutes with just Aadhaar. 3. You're a Micro enterprise (investment <₹2.5Cr) — tick 'Manufacturing' as activity type since you make sous vide chicken.",None — just Aadhaar. GST optional at early stage.,10,Required for PMFME scheme (up to ₹10L grant) and all MSME subsidies. Free 10-minute process. Your manufacturing in Pilani Rajasthan qualifies perfectly.,"prerequisite, msme, udyam, free, urgent",https://udyamregistration.gov.in/,official
FSSAI License / Registration,Food Safety and Standards Authority of India (FSSAI),prerequisite,₹100/year (registration) or ₹2000–7500/year (license),"Any food business operator manufacturing/processing/packaging food; registration for <₹12L turnover, state license for ₹12L–20Cr",Rolling — apply before starting sales,https://foscos.fssai.gov.in/apply-for-lic-and-reg,helpdesk-foscos@fssai.gov.in,Go to foscos.fssai.gov.in → New License/Registration → select state (Rajasthan for manufacturing unit) → fill FBO details → upload docs → pay fee → typically approved in 7-30 days,"1. Apply for Registration first (cheaper, faster) since you're pre-revenue. Upgrade to State License once turnover crosses ₹12L. 2. Your FSSAI Application No. 30260225123527406 is already filed — track it at foscos.fssai.gov.in/view-application. 3. Tatkal option available if you need expedited processing — extra fee but 1-day approval.",Company incorporation docs + address proof + food safety management plan,10,Mandatory to sell food in India. Already applied — track status. Need this before any sales or investor demo of actual product.,"prerequisite, fssai, food_safety, urgent, compliance",https://foscos.fssai.gov.in/,official
Startup India Seed Fund Scheme (SISFS),DPIIT / Startup India,grant,"₹20L grant (PoC/prototype) + ₹50L convertible debenture (market entry)","DPIIT-recognized startup; incorporated <2 years at time of application; innovative product/service with market fit; no prior funding from govt seed fund",⚠️ PORTAL CLOSING: 30 April 2026 for new incubator selections. Startup applications through incubators — rolling,https://seedfund.startupindia.gov.in/,,Step 1: Get DPIIT recognition → Step 2: Find eligible SISFS incubator (list on portal) → Step 3: Apply through incubator's own portal → Step 4: Incubator evaluates and disburses fund if selected,"1. ⚠️ URGENT: Portal is closing TODAY (April 30 2026) for new incubator registrations — but startups can still apply through already-registered incubators. Check BITS TBI or T-Hub if they're SISFS-registered incubators. 2. Grant (₹20L) is for PoC and prototype — frame application around 'developing shelf-stable sous vide process trials'. 3. Convertible debenture (₹50L) for market entry — file after proving PoC. 4. You can apply to 3 incubators simultaneously — maximize chances. 5. SISFS prefers food processing sector explicitly — mention it in application.",DPIIT Recognition required first,9,Perfect fit — food processing is explicitly preferred sector. ₹20L grant covers your entire Phase 0 budget. URGENT: portal closing today — check existing SISFS incubator partners immediately.,"grant, dpiit, seed_fund, food, urgent, ₹20L",https://seedfund.startupindia.gov.in/,official
PM Formalisation of Micro Food Processing Enterprises (PMFME),Ministry of Food Processing Industries (MOFPI),grant,"Up to ₹10L (35% of project cost, max ₹10L credit-linked subsidy)","Individual food processing micro enterprises; Udyam-registered or eligible for Udyam; existing or new food processing unit; groups/FPOs/SHGs also eligible",Rolling — check pmfme.mofpi.gov.in for state-wise availability,https://pmfme.mofpi.gov.in/pmfme/,,Step 1: Get Udyam registration → Step 2: Visit pmfme.mofpi.gov.in → Step 3: Apply through your state nodal agency (Rajasthan or Telangana) → Step 4: Prepare project report showing investment + jobs created → Step 5: Bank linkage for credit-linked subsidy,"1. This is a credit-linked subsidy — you need to take a bank loan and the government subsidizes 35% (up to ₹10L). Not a direct grant. 2. Apply through Rajasthan nodal agency since your manufacturing is in Pilani (Harinagar) — state-level decisions, Rajasthan may be faster. 3. Need a proper project report with machinery details, capacity, employment — hire a CA/consultant familiar with PMFME to prepare this. 4. Under ODOP (One District One Product) — Jhunjhunun district in Rajasthan may have a recognized food product that helps.",Udyam Registration required; bank account; project report,9,Food manufacturing startup in Rajasthan — perfect fit. 35% subsidy up to ₹10L on equipment/capex directly relevant to your manufacturing setup in Pilani.,"grant, food, manufacturing, mofpi, rajasthan, ₹10L",https://pmfme.mofpi.gov.in/pmfme/,official
Telangana State Startup Policy — SGST Reimbursement,Government of Telangana — IT & Electronics Dept,scheme,100% SGST reimbursement for 3 years (on turnover up to ₹1Cr/year),"Startup registered in Telangana; incorporated after 2017; turnover <₹25Cr; must be registered with startup.telangana.gov.in",Rolling — apply within first 3 years of incorporation,https://startup.telangana.gov.in/,startups@telangana.gov.in,Step 1: Register at startup.telangana.gov.in → Step 2: Get Telangana startup certification → Step 3: File GST returns → Step 4: Apply for SGST reimbursement through the portal with Commercial Tax authority Form-A certification every half-year,"1. Ultimate Chicken is registered in Hyderabad — you qualify. For amounts >₹2L in a half-year you need Form-A from commercial tax officer. 2. Apply for Telangana startup registration BEFORE you start selling — reimbursement is from incorporation date but they won't backdate beyond what's on record. 3. T-Hub and WE Hub both help with the Telangana startup registration process — they can expedite.",Registered in Telangana; GST registration,9,Company is registered in Hyderabad — directly eligible. SGST reimbursement on all sales means zero effective GST cost for first 3 years up to ₹1Cr annual revenue.,"scheme, telangana, hyderabad, sgst, tax_benefit",https://startup.telangana.gov.in/jet-popup/eligibility/,official
iStart Rajasthan — Startup Incentives (Policy 2022),Government of Rajasthan — Industries Department,scheme,"Seed funding ₹5L–₹15L; patent reimbursement; mentorship; rent subsidy; electricity subsidy; market access support","Startup incorporated in Rajasthan OR with manufacturing/operations in Rajasthan; incorporated <7 years; innovative product/process",Rolling — register at istart.rajasthan.gov.in,https://istart.rajasthan.gov.in/startup-apply,,Step 1: Register startup at istart.rajasthan.gov.in → Step 2: Get iStart certification → Step 3: Apply for specific benefits (seed funding, patent, etc.) through state nodal office in Jaipur → Step 4: Submit business plan and financials,"1. Your manufacturing is in Pilani (Jhunjhunun district, Rajasthan) — this qualifies you for Rajasthan startup benefits even though your registered office is in Hyderabad. Register both through Telangana AND iStart. 2. Seed funding up to ₹15L under Rajasthan Startup Policy 2022 is available for early-stage startups — file this alongside PMFME for maximum coverage. 3. Contact Launchpad Coordinator for Jhunjhunun district directly — they help with paperwork. 4. RIPS 2022 (Rajasthan Investment Promotion Scheme) offers electricity tariff subsidy and stamp duty exemption for manufacturing units.",Manufacturing operations in Rajasthan; basic business documents,9,Manufacturing is in Pilani (Rajasthan) — eligible for iStart benefits including seed funding and manufacturing subsidies even with Hyderabad HQ.,"scheme, rajasthan, pilani, seed_funding, manufacturing, subsidy",https://istart.rajasthan.gov.in/,official
T-Hub Foundation Program,T-Hub (Telangana government-backed),incubation,Equity-free incubation + ₹75K–₹1.5L in perks/credits + mentorship + co-working space,"Early-to-mid stage startups; based in or willing to relocate to Hyderabad; preferably revenue-generating or clear revenue path",Cohorts open periodically — check t-hub.co/foundation,https://t-hub.co/foundation,,Apply online at t-hub.co/foundation → shortlisting → pitch round → cohort enrollment → 6-month program with mentors and T-Hub network,"1. T-Hub is government-backed (Telangana) so they actively want Hyderabad-registered startups — your Hyderabad registration is a big plus. 2. Apply for Lab32 (market readiness, 100 days, 286 startups through 11 cohorts) or T-Angel (100-day investment readiness) based on which stage you're at. 3. The Innovators Hackathon 2026 is currently ongoing — apply to this as a fast-track entry point into T-Hub's ecosystem. 4. Having FSSAI and DPIIT recognition before applying significantly improves selection chances.",None formally required; FSSAI and DPIIT registration recommended,9,Headquartered in Hyderabad = strong eligibility for T-Hub. Multiple active programs (Lab32, T-Angel, Rubrix, Hackathon 2026). Government-backed incubator in your home state.,"incubation, hyderabad, telangana, thub, equity_free",https://t-hub.co/programs,official
T-Hub T-Angel Program,T-Hub Hyderabad,incubation,100-day investment readiness program + investor introductions,"Revenue-generating or near-revenue startups; clear business model; Hyderabad-based preferred",Cohorts open periodically,https://t-hub.co/t-angel,,Apply at t-hub.co/t-angel → application screening → cohort selection → 100-day structured program → demo day with investors,"1. T-Angel is specifically for getting your first investment — perfect for UC's current stage (pre-seed raise). 2. The demo day connects you to T-Hub's network of 200+ investors in Hyderabad. 3. Apply after you have FSSAI + DPIIT + at least 3 months of campus sales data — they want traction proof.",None formally; some traction preferred,8,100-day program ending in investor demo day — perfect for UC's pre-seed raise. T-Hub is in your backyard in Hyderabad.,"incubation, hyderabad, investment_readiness, demo_day",https://t-hub.co/t-angel,official
T-Hub Lab32 Program,T-Hub Hyderabad,incubation,100-day market readiness program + ₹75K in perks + co-working + mentors,"Early traction startups preparing for market launch; product/service must be ready or near-ready",Cohorts open periodically — 11 cohorts done,https://t-hub.co/lab32,,Apply at t-hub.co/lab32 → selection process → 100-day cohort,"1. 286 startups through 11 past cohorts — strong alumni network in Hyderabad. 2. Perfect timing: apply after FSSAI comes through and you have campus sales data. 3. Alumni of Lab32 often get preferential consideration for T-Angel in the next cycle.",Some product readiness preferred,8,Market readiness program — ideal after FSSAI and campus pilot. Strong T-Hub alumni network in Hyderabad.,"incubation, hyderabad, market_readiness",https://t-hub.co/lab32,official
